email_custom_domain,same_email_domain_count,projects_count,strings_count,members_count,has_private_project,same_login_and_project_name,days_after_last_login,country,purchase
1,118,45,41,35,1,1,2,"Saudi Arabia",1
0,190,10,85,6,1,0,7,France,0
1,164,54,61,115,0,0,0,Polland,0
0,100,95,52,37,1,0,3,France,0
1,60,35,37,41,1,1,6,China,1
1,46,79,1,32,1,0,6,Italy,0
1,29,31,64,565,0,0,4,"Saudi Arabia",0
0,17,100,58,601,0,0,17,France,0
0,84,72,80,63,0,0,2,USA,0
0,136,45,51,678,0,0,17,Polland,0
1,97,7,23,361,0,0,25,China,0
0,122,50,94,25,1,0,21,China,0
1,34,49,46,6,1,0,5,Germany,1
1,60,51,25,32,0,1,0,Spain,1
0,13,69,4,26,1,1,1,Germany,1
1,49,30,69,10,1,0,2,Spain,1
1,14,35,6,7,1,1,26,USA,0
1,21,45,74,30,1,0,5,Germany,1
0,134,23,84,9,1,0,0,Germany,1
1,20,97,67,6,1,1,20,Spain,0
1,26,98,90,3,1,0,1,France,0
1,176,7,40,922,0,1,3,Spain,1
0,188,56,37,42,1,1,11,France,0
0,131,95,37,757,0,1,10,Italy,0
0,31,76,74,930,0,0,26,USA,0
1,181,36,32,205,0,1,1,France,1
1,117,39,75,3,1,0,25,Japan,0
0,56,68,8,34,0,1,26,China,0
0,185,12,39,34,1,0,3,Spain,1
1,80,25,20,860,0,1,4,Polland,0
1,83,1,68,255,0,1,19,Japan,0
0,154,7,3,843,0,0,6,China,1
0,145,38,81,8,1,1,9,Italy,0
0,15,95,73,1,1,1,5,France,1
1,29,57,14,30,1,0,2,France,0
0,165,57,16,776,0,1,17,Italy,0
0,67,33,57,839,0,0,0,Spain,1
1,7,86,13,22,1,0,4,Germany,1
0,22,8,53,6,1,0,0,"Saudi Arabia",1
1,16,96,85,40,1,1,20,Polland,0
0,38,76,31,34,1,1,6,Germany,1
1,61,63,63,15,1,0,2,Germany,1
1,39,98,51,14,1,0,7,"Saudi Arabia",1
1,123,92,88,10,1,1,5,"Saudi Arabia",1
1,93,16,15,18,1,1,14,Italy,0
0,73,95,43,235,0,1,24,Japan,0
0,5,18,74,43,1,0,29,Polland,0
0,50,42,39,47,1,0,26,Polland,0
1,171,67,92,30,1,1,5,France,1
0,181,58,7,771,0,0,4,China,1
0,151,42,35,12,1,1,4,"Saudi Arabia",1
1,177,64,90,450,0,1,4,"Saudi Arabia",1
0,112,12,16,29,1,0,4,Spain,1
1,153,16,81,6,1,1,10,Polland,0
0,19,38,76,34,1,0,2,Ukraine,0
0,108,64,30,942,0,1,4,Germany,1
1,150,12,95,17,1,1,5,France,0
1,132,37,87,379,0,1,1,Italy,0
1,166,61,28,458,0,1,18,Ukraine,0
0,193,44,73,185,0,0,18,Japan,0
0,156,66,72,180,0,1,22,Polland,0
1,113,33,67,858,0,1,4,Ukraine,0
1,196,19,53,894,0,0,25,Polland,0
1,136,41,46,39,1,1,0,USA,1
0,146,85,24,44,1,1,20,Spain,0
1,156,47,76,472,0,0,2,"Saudi Arabia",0
1,186,66,88,22,1,0,0,China,1
1,89,73,72,24,1,0,27,Germany,0
0,89,94,47,113,0,0,7,Germany,1
1,186,56,88,31,1,1,26,Italy,0
1,14,87,55,949,0,0,15,"Saudi Arabia",0
1,77,44,68,5,1,0,17,Japan,0
0,161,23,21,49,1,1,7,Polland,1
0,134,86,68,50,1,0,9,China,0
0,50,46,0,13,1,1,0,"Saudi Arabia",1
1,70,7,100,7,1,1,24,USA,0
0,126,99,70,747,0,1,15,USA,0
0,158,84,7,23,1,0,27,Italy,0
1,158,33,16,770,0,0,16,Italy,0
0,46,55,98,47,1,1,1,USA,1
0,42,68,85,29,1,0,11,Ukraine,0
0,115,92,34,880,0,0,6,France,1
1,176,82,82,18,1,0,21,Ukraine,0
1,105,7,70,909,0,1,18,China,0
0,139,34,98,7,1,0,12,Japan,0
1,88,9,17,4,1,0,0,Spain,1
1,72,33,39,35,1,1,9,Italy,0
1,54,71,49,34,1,0,22,Italy,0
1,146,48,77,807,0,0,4,"Saudi Arabia",0
1,121,1,25,6,1,0,4,Japan,0
0,158,88,58,633,0,0,28,Ukraine,0
1,88,52,57,657,0,1,21,Polland,0
0,12,79,90,236,0,1,29,Spain,0
0,108,85,72,673,0,1,2,Spain,0
0,63,20,54,474,0,1,0,China,0
1,198,17,23,196,0,0,2,France,0
1,119,57,15,886,0,0,0,Italy,0
0,200,71,33,53,0,1,7,China,0
0,170,9,84,27,1,0,3,"Saudi Arabia",1
0,193,75,21,20,1,1,20,Polland,0
1,67,42,3,425,0,0,18,Ukraine,0
0,12,53,73,496,0,1,2,Germany,1
1,77,98,32,18,1,1,25,Italy,0
1,113,65,38,32,1,0,20,France,0
0,62,45,68,8,1,1,30,France,0
1,9,78,39,26,1,0,19,Polland,0
1,177,99,91,9,1,0,18,Japan,0
0,75,19,8,30,1,0,6,China,1
0,112,49,69,30,1,1,2,"Saudi Arabia",1
1,155,66,23,22,1,1,11,France,0
1,101,40,13,43,1,1,3,Japan,0
1,177,37,48,24,1,0,0,Polland,0
1,155,53,90,600,0,0,19,Spain,0
1,85,48,39,812,0,1,3,Italy,0
1,172,15,47,536,0,0,26,Polland,0
0,121,51,88,821,0,1,15,USA,0
0,141,63,39,10,1,0,26,Ukraine,0
0,55,73,68,46,1,0,6,France,1
1,174,20,63,10,1,1,0,"Saudi Arabia",1
1,133,96,0,35,1,1,1,Spain,0
0,58,17,84,13,1,1,8,USA,0
0,27,96,39,842,0,0,23,France,0
0,17,83,59,435,0,0,5,Japan,1
1,159,3,92,38,1,1,3,Italy,0
0,151,90,44,218,0,1,10,France,0
1,187,86,35,626,0,1,29,Italy,0
1,73,9,1,961,0,0,25,China,0
0,110,17,82,191,0,1,1,"Saudi Arabia",1
1,180,16,54,29,1,1,7,Germany,1
1,105,31,45,50,1,1,20,Japan,0
0,7,49,28,272,0,0,28,Japan,0
0,50,28,17,202,0,0,6,Italy,0
1,69,44,87,502,0,1,11,France,0
1,194,65,100,3,1,0,6,Germany,1
1,165,10,44,16,1,1,0,China,1
1,121,9,20,43,1,0,29,Japan,0
0,107,26,18,500,0,0,4,"Saudi Arabia",0
1,72,21,52,16,1,1,5,Spain,1
1,43,79,53,18,1,0,8,"Saudi Arabia",0
0,148,45,4,3,1,0,0,USA,0
1,21,77,96,791,0,1,24,Japan,0
1,67,9,2,170,0,1,13,USA,0
1,125,38,86,940,0,0,29,Japan,0
0,181,63,44,26,1,0,25,Spain,0
0,101,24,99,26,1,1,28,China,0
1,20,88,8,50,1,1,1,USA,1
1,3,42,11,12,1,1,6,Germany,0
1,54,13,52,19,1,1,27,Japan,0
1,169,9,71,562,0,1,0,"Saudi Arabia",1
0,153,56,32,35,1,0,13,France,0
0,189,32,56,237,0,1,18,Italy,0
0,138,15,7,3,1,1,25,Italy,0
0,35,25,11,46,1,0,29,China,0
0,47,54,36,667,0,0,14,Spain,0
0,28,28,14,440,0,1,15,Japan,0
0,85,81,40,645,0,1,19,Spain,0
0,38,71,56,50,1,1,26,"Saudi Arabia",0
