email_custom_domain,same_email_domain_count,projects_count,strings_count,members_count,has_private_project,same_login_and_project_name,days_after_last_login,country,purchase
0,59,32,30,233,1,avSjCyiQuJ,48,USA,1
1,491,26,65,306,1,nxYIHGzZlV,51,Germany,0
0,117,94,59,56,1,wgfCbsjNBD,38,Spain,1
0,199,31,97,602,0,nakYVgCuLe,67,Italy,0
1,94,31,75,76,0,EIklTQSPyO,88,Spain,0
1,25,36,80,448,0,DsOwoFAGpu,58,USA,1
1,915,80,41,899,1,eUkNDAtauC,48,Japan,0
1,798,19,45,198,0,juxoZXzVRT,19,USA,1
1,983,25,30,565,1,bEprTNFBgk,42,Ukraine,0
0,483,95,42,962,1,qksLNvmeni,0,Spain,0
1,847,95,65,745,1,WnAjIOZzmd,98,Ukraine,0
1,743,55,86,661,0,YiXseHBUpx,36,USA,1
1,715,89,20,142,1,YcbrCnlDWe,90,USA,1
1,475,25,10,239,1,GLDJQtVNcP,42,Polland,1
0,844,60,7,392,1,gqWjHxRbZi,72,France,0
1,649,6,48,643,0,aKonMkLpSB,77,USA,0
0,375,58,47,977,0,kjRqedyapV,85,Spain,0
0,665,82,29,130,0,lGzUFRQaib,10,Polland,0
0,180,51,30,215,1,FsaOKCdGvh,69,USA,1
0,241,43,82,757,0,eCZWqVmSsX,33,Ukraine,1
1,91,29,31,323,1,NZWXQPGCAn,22,Italy,1
1,547,81,92,775,0,RvfBldmDbi,57,Ukraine,1
1,934,44,35,14,0,JjDZfHaYXq,41,China,1
0,396,49,74,398,1,nFwaTGjJOI,46,"Saudi Arabia",1
1,2,72,95,816,1,xGIoKmyYVn,12,Italy,1
1,452,78,91,157,1,ANUcEfbeya,71,Ukraine,1
0,85,28,6,531,1,wcrQDziKTP,46,China,0
0,611,22,80,872,0,eBpjVZkQTy,33,USA,0
0,950,63,31,546,1,viLQhOlVGg,51,USA,1
1,443,99,13,775,0,xwfXuNoZja,50,Germany,0
0,240,45,19,907,1,ZGEkmfOxoy,5,Japan,1
1,549,100,66,861,1,OiXRkTPqjt,6,USA,0
0,969,27,100,807,1,TqIhprfWva,34,"Saudi Arabia",1
1,32,78,71,340,0,vnsyrBCWdZ,24,China,0
1,277,83,68,413,0,KNHxYvkOcA,55,USA,1
0,775,4,35,28,1,wLBAOiyVdf,75,Polland,0
0,231,64,14,652,0,OWiBpvIxzN,2,"Saudi Arabia",1
1,132,66,93,388,1,xwWKQZNoeE,39,USA,1
0,681,40,18,756,1,lnBbZqkaXL,7,USA,1
0,12,78,64,280,1,xLWnbFACfg,54,Germany,0
0,543,16,42,913,0,sSBEYkCKlr,26,USA,0
1,896,28,91,40,1,tXDnoWpLSl,73,"Saudi Arabia",1
0,363,83,42,587,1,XJTAeogxub,86,USA,1
1,762,93,67,568,0,VLqPsUIemT,28,China,1
0,186,4,58,517,1,JPzkiSBFoK,70,"Saudi Arabia",1
0,928,11,97,735,0,mFMsXiuDYg,74,"Saudi Arabia",0
1,386,40,18,575,1,xfmZQMDtoI,5,Germany,1
1,114,47,87,585,1,FwtJedxvfG,12,Spain,0
1,603,76,8,955,1,UzeMHfubZT,30,Spain,0
1,110,34,47,562,0,kNuHSTtbOe,0,"Saudi Arabia",0
1,386,60,16,11,0,dAjNFaEhiy,10,Japan,1
0,17,7,67,663,1,yvWQuMCSXm,64,USA,0
0,749,7,32,588,1,dSZDWBjzVs,36,Germany,0
1,262,76,78,152,1,jLRcqmfMoP,64,France,0
1,615,21,31,387,0,KghWJZIYzB,5,Germany,1
0,886,91,58,180,1,MJPUtLTciI,26,USA,1
1,161,61,9,788,1,qalPKSOVeX,90,Japan,1
0,215,2,68,763,0,ktvwmupMbH,65,USA,1
1,699,66,66,410,0,AiWGVhpQUS,43,Japan,0
1,0,92,68,669,0,NyYzJmXCco,30,Japan,0
1,142,52,1,308,0,SaWsHclyDq,36,USA,1
1,286,22,35,560,0,vEXWUjzPtC,34,Spain,1
1,606,68,87,233,1,DMtHlnEKTw,83,Ukraine,0
1,572,74,88,314,0,RuBQLorlGp,11,USA,0
0,198,87,72,675,0,XqVSyutLWG,27,Polland,0
1,498,12,18,871,0,drotMzjExl,96,"Saudi Arabia",1
0,791,9,19,624,1,TsIbWDgAzM,35,"Saudi Arabia",0
1,81,94,45,993,0,LnyBxcIMXs,98,USA,0
0,89,9,78,749,0,BWGrdqvwnJ,16,Spain,0
1,752,39,36,471,0,EGTqxfFsam,65,USA,1
0,990,78,31,715,0,ShlcODpJFy,66,Spain,1
0,200,62,35,832,1,ulwtPmWjcY,52,Germany,0
1,472,65,1,669,0,jwRVQTOivy,86,Spain,0
1,872,87,40,665,0,tVCWiDJMHK,20,Spain,1
0,216,74,90,30,1,mGjZcXbQaL,51,USA,0
0,279,36,72,341,0,tHYcAqkRNJ,67,Spain,1
0,956,13,36,917,0,TrlzUkZXoG,46,USA,1
1,547,10,7,100,0,NfXZAyKYGx,37,China,1
0,825,4,69,356,1,QSIOTZGaUh,49,China,0
0,222,12,79,857,0,DUJjzSXuTy,77,USA,1
0,772,90,4,96,0,JRvZHKxcMN,22,USA,1
1,442,5,33,466,0,ibDaZELhUt,55,Germany,1
0,554,66,27,537,1,ORAVKSvzBs,9,Spain,1
1,319,65,71,557,1,XQhDAOlFcU,96,France,0
1,168,59,50,170,0,EajwUIAXie,31,USA,0
0,542,9,23,583,1,AQflXsmwzL,21,Italy,0
1,76,97,85,641,1,ilVtcUBxsp,100,Spain,0
0,266,78,11,852,1,mzHILyWxME,36,USA,0
1,131,97,16,909,0,UflCspujFd,35,"Saudi Arabia",1
0,771,89,82,831,1,iBpUFQzKCL,38,Italy,0
