" "," ",Мовлення
" ",Мовлення,як
Мовлення,як,вид
як,вид,людської
вид,людської,діяльності
людської,діяльності,завжди
діяльності,завжди,зорієнтоване
завжди,зорієнтоване,на
зорієнтоване,на,виконання
на,виконання,певного
виконання,певного,комунікативного
певного,комунікативного,завдання
" "," ",
" ",,Висловлюючи
,Висловлюючи,думки
Висловлюючи,думки,і
думки,і,почуття
і,почуття,людина
почуття,людина,ставить
людина,ставить,конкретну
ставить,конкретну,мету
конкретну,мету,щось
мету,щось,повідомити
щось,повідомити,про
повідомити,про,щось
про,щось,переконати
щось,переконати,тощо
" "," ",
" ",,Існує
,Існує,багато
Існує,багато,визначень
багато,визначень,тексту
" "," ",Наведемо
" ",Наведемо,окремі
Наведемо,окремі,з
окремі,з,них
" "," ",
" ",,Текст
,Текст,це
Текст,це,витвір
це,витвір,мовленнєвого
витвір,мовленнєвого,процесу
мовленнєвого,процесу,що
процесу,що,відзначається
що,відзначається,завершеністю
відзначається,завершеністю,об
завершеністю,об,єктивований
об,єктивований,у
єктивований,у,вигляді
у,вигляді,письмового
вигляді,письмового,документа
письмового,документа,літературно
документа,літературно,опрацьований
літературно,опрацьований,відповідно
опрацьований,відповідно,до
відповідно,до,типу
до,типу,документа
типу,документа,витвір
документа,витвір,який
витвір,який,складається
який,складається,із
складається,із,заголовка
із,заголовка,і
заголовка,і,ряду
і,ряду,особливих
ряду,особливих,одиниць
особливих,одиниць,надфразових
одиниць,надфразових,єдностей
надфразових,єдностей,об
єдностей,об,єднаних
об,єднаних,різними
єднаних,різними,типами
різними,типами,лексичного
типами,лексичного,граматичного
лексичного,граматичного,логічного
граматичного,логічного,стилістичного
логічного,стилістичного,зв
стилістичного,зв,язку
зв,язку,і
язку,і,має
і,має,певну
має,певну,цілеспрямованість
певну,цілеспрямованість,і
цілеспрямованість,і,прагматичну
і,прагматичну,визначеність
прагматичну,визначеність,1
визначеність,1,І
" "," ",Р
" "," ",Гальперін
" ",Гальперін,рос
" "," ",
" ",,
" "," ",
" ",,Текст
,Текст,певна
Текст,певна,з
певна,з,функціонально
з,функціонально,смислового
функціонально,смислового,погляду
смислового,погляду,упорядкована
погляду,упорядкована,група
упорядкована,група,речень
група,речень,або
речень,або,їх
або,їх,аналогів
їх,аналогів,які
аналогів,які,являють
які,являють,собою
являють,собою,завдяки
собою,завдяки,семантичним
завдяки,семантичним,і
семантичним,і,функціональним
і,функціональним,взаємовідношенням
функціональним,взаємовідношенням,елементів
взаємовідношенням,елементів,завершену
елементів,завершену,смислову
завершену,смислову,єдність
смислову,єдність,Джерело
єдність,Джерело,В
" "," ",В
" "," ",Одинцов
" ",Одинцов,
" "," ",Найістотнішими
" ",Найістотнішими,текстовими
Найістотнішими,текстовими,ознаками
текстовими,ознаками,є
ознаками,є,А
" "," ",П
" "," ",Загнітко
" ",Загнітко,цілісність
Загнітко,цілісність,зв
цілісність,зв,язність
зв,язність,структурна
язність,структурна,організованість
структурна,організованість,завершеність
" "," ",Текст
" ",Текст,середній
Текст,середній,елемент
середній,елемент,схеми
елемент,схеми,комунікації
схеми,комунікації,яку
комунікації,яку,можна
яку,можна,уявити
можна,уявити,у
уявити,у,вигляді
у,вигляді,триелементної
вигляді,триелементної,структури
триелементної,структури,автор
структури,автор,адресант
автор,адресант,текст
адресант,текст,читач
текст,читач,адресат
читач,адресат,
" "," ",Як
" ",Як,серединний
Як,серединний,проміжний
серединний,проміжний,елемент
проміжний,елемент,комунікативного
елемент,комунікативного,акту
комунікативного,акту,текст
акту,текст,виявляє
текст,виявляє,свою
виявляє,свою,специфіку
свою,специфіку,у
специфіку,у,кодуванні
у,кодуванні,і
кодуванні,і,декодуванні
" "," ",Щодо
" ",Щодо,мовця
Щодо,мовця,адресанта
мовця,адресанта,текст
адресанта,текст,є
текст,є,кодованою
є,кодованою,величиною
кодованою,величиною,оскільки
величиною,оскільки,мовець
оскільки,мовець,кодує
мовець,кодує,певну
кодує,певну,інформацію
" "," ",Для
" ",Для,сприйняття
Для,сприйняття,вміщеної
сприйняття,вміщеної,у
вміщеної,у,тексті
у,тексті,інформації
тексті,інформації,читач
інформації,читач,повинен
читач,повинен,її
повинен,її,декодувати
її,декодувати,А
" "," ",П
" "," ",Загнітко
" ",Загнітко,
" "," ",Текст
" ",Текст,породжується
Текст,породжується,мовцем
породжується,мовцем,тим
мовцем,тим,хто
тим,хто,пише
хто,пише,відповідно
пише,відповідно,до
відповідно,до,його
до,його,задуму
його,задуму,з
задуму,з,потребою
з,потребою,найкращого
потребою,найкращого,передавання
найкращого,передавання,змісту
" "," ",Текст
" ",Текст,редагується
Текст,редагується,на
редагується,на,етапі
на,етапі,внутрішньої
етапі,внутрішньої,мислиннєвої
внутрішньої,мислиннєвої,підготовки
мислиннєвої,підготовки,а
підготовки,а,в
а,в,письмовому
в,письмовому,варіанті
письмовому,варіанті,також
варіанті,також,в
також,в,процесі
в,процесі,саморедагування
процесі,саморедагування,відповідно
саморедагування,відповідно,до
відповідно,до,стилістичних
до,стилістичних,норм
стилістичних,норм,мови
норм,мови,комунікативної
