, , Пара,
, Пара, слов,
Пара, слов, для,
слов, для, тех,
для, тех, кто,
тех, кто, не,
кто, не, совсем,
не, совсем, в,
совсем, в, курсе,
в, курсе, о,
курсе, о, чем,
о, чем, идет,
чем, идет, речь,
, , Вы,
, Вы, видели,
Вы, видели, когда-нибудь,
видели, когда-нибудь, маски,
когда-нибудь, маски, имен,
маски, имен, файлов,
имен, файлов, всякие,
файлов, всякие, там,
всякие, там, *html,
там, *html, filename{txt|csv},
*html, filename{txt|csv}, и,
filename{txt|csv}, и, тд,
, , Так,
, Так, вот,
Так, вот, регулярные,
вот, регулярные, выражения,
регулярные, выражения, это,
выражения, это, те,
это, те, же,
те, же, «маски»,
же, «маски», только,
«маски», только, более,
только, более, сложные,
, , В,
, В, умелых,
В, умелых, руках,
умелых, руках, регулярные,
руках, регулярные, выражения,
регулярные, выражения, могут,
выражения, могут, быть,
могут, быть, невероятно,
быть, невероятно, мощным,
невероятно, мощным, инструментом,
, , Так,
, Так, или,
Так, или, иначе,
или, иначе, они,
иначе, они, используются,
они, используются, в,
используются, в, 95%,
в, 95%, моих,
95%, моих, скриптов,
